                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.94746,                0.59571,                  1.018,                0.89072,                0.60876,                0.73049,                0.53883,                0.94223,                0.64066,                 1.0641,              0.0017228,              0.0017228,              0.0017228
                     73,                0.96815,                0.61037,                 1.0203,                0.89803,                0.61219,                0.74105,                0.54333,                 0.9368,                 0.6315,                 1.0623,              0.0017188,              0.0017188,              0.0017188
                     74,                0.97619,                 0.6097,                 1.0239,                0.86665,                0.61191,                0.72795,                0.52057,                0.99117,                0.64141,                 1.1046,              0.0017149,              0.0017149,              0.0017149
                     75,                0.96486,                0.60727,                 1.0256,                0.88183,                0.63108,                0.74677,                0.55031,                0.93295,                0.62212,                 1.0602,              0.0017109,              0.0017109,              0.0017109
                     76,                0.97258,                0.60332,                 1.0215,                 0.8954,                0.61763,                0.73448,                0.52956,                0.98316,                0.63169,                 1.0844,               0.001707,               0.001707,               0.001707
                     77,                0.94943,                0.59846,                 1.0182,                0.90524,                0.61517,                0.73565,                0.54401,                0.93833,                0.62119,                 1.0672,               0.001703,               0.001703,               0.001703
                     78,                0.95294,                0.59539,                 1.0148,                0.89759,                0.62209,                0.74411,                0.54709,                0.93666,                0.61555,                 1.0577,               0.001699,               0.001699,               0.001699
                     79,                0.96434,                 0.5941,                 1.0176,                0.87887,                0.62421,                0.73944,                0.53896,                0.94819,                0.62523,                 1.0729,              0.0016951,              0.0016951,              0.0016951
                     80,                0.96801,                0.60084,                 1.0184,                 0.8873,                0.62865,                0.74815,                0.55015,                 0.9217,                0.61782,                 1.0489,              0.0016911,              0.0016911,              0.0016911
                     81,                0.94724,                0.59809,                 1.0078,                 0.8848,                0.63165,                 0.7486,                0.54906,                0.93683,                0.61762,                 1.0654,              0.0016872,              0.0016872,              0.0016872
                     82,                0.94578,                0.58498,                 1.0135,                0.89299,                0.61378,                0.73534,                0.53812,                0.95032,                0.62179,                  1.066,              0.0016832,              0.0016832,              0.0016832
                     83,                0.94036,                0.58618,                 1.0087,                0.89988,                0.61505,                0.74442,                0.54939,                0.93205,                0.62578,                 1.0578,              0.0016792,              0.0016792,              0.0016792
                     84,                0.93958,                0.57633,                 1.0083,                0.90157,                0.61963,                0.75224,                0.54643,                0.94876,                0.60199,                 1.0574,              0.0016753,              0.0016753,              0.0016753
                     85,                0.95531,                0.59158,                 1.0139,                0.89439,                 0.6182,                0.74109,                0.53946,                0.96216,                0.63662,                 1.0812,              0.0016713,              0.0016713,              0.0016713
                     86,                0.94772,                0.58493,                 1.0143,                0.89007,                0.61643,                0.73582,                0.53643,                0.94109,                 0.6197,                  1.064,              0.0016674,              0.0016674,              0.0016674
                     87,                0.93647,                0.57524,                 1.0122,                0.89587,                0.63035,                0.74401,                0.54829,                0.93079,                0.60635,                  1.062,              0.0016634,              0.0016634,              0.0016634
                     88,                0.94443,                0.58139,                 1.0118,                0.87903,                0.62536,                0.74731,                0.53899,                0.96557,                0.61592,                 1.0795,              0.0016594,              0.0016594,              0.0016594
                     89,                0.94071,                0.57701,                 1.0092,                0.91319,                0.62623,                0.74797,                0.54595,                 0.9387,                0.60432,                 1.0705,              0.0016555,              0.0016555,              0.0016555
                     90,                0.95706,                0.59128,                 1.0164,                0.88895,                 0.6308,                0.75013,                0.54519,                0.95606,                0.60898,                 1.0724,              0.0016515,              0.0016515,              0.0016515
                     91,                0.94282,                 0.5773,                   1.01,                0.89723,                0.63051,                0.75367,                0.55084,                0.93449,                0.59629,                 1.0583,              0.0016476,              0.0016476,              0.0016476
                     92,                0.93656,                0.57265,                 1.0027,                 0.8842,                0.63813,                0.75578,                0.55053,                0.93896,                0.60658,                 1.0634,              0.0016436,              0.0016436,              0.0016436
                     93,                0.93909,                0.57264,                 1.0024,                0.89158,                0.63194,                0.74988,                0.54894,                0.94097,                0.59687,                 1.0731,              0.0016396,              0.0016396,              0.0016396
                     94,                0.94083,                0.57667,                 1.0113,                0.87843,                0.62851,                0.74344,                 0.5424,                0.94408,                0.60988,                 1.0694,              0.0016357,              0.0016357,              0.0016357
                     95,                0.93029,                0.56684,                 1.0076,                0.88483,                0.62887,                0.74101,                0.54656,                0.95273,                0.61444,                 1.0812,              0.0016317,              0.0016317,              0.0016317
                     96,                0.92773,                 0.5729,                 1.0048,                0.89342,                0.61849,                0.74253,                0.54344,                0.94059,                0.63113,                 1.0664,              0.0016278,              0.0016278,              0.0016278
                     97,                  0.929,                0.56583,                 1.0023,                0.90287,                0.61457,                 0.7426,                0.53426,                 0.9874,                0.62381,                 1.1081,              0.0016238,              0.0016238,              0.0016238
                     98,                0.92207,                0.56302,                0.99822,                0.86424,                  0.645,                0.75508,                0.54679,                   0.95,                 0.6051,                 1.0749,              0.0016198,              0.0016198,              0.0016198
                     99,                0.93354,                0.56882,                 1.0044,                0.87128,                 0.6162,                0.72746,                0.52635,                0.99678,                0.64124,                 1.0998,              0.0016159,              0.0016159,              0.0016159
                    100,                0.94938,                0.57944,                 1.0095,                0.89069,                0.62501,                0.74577,                 0.5388,                0.98026,                0.60466,                  1.096,              0.0016119,              0.0016119,              0.0016119
                    101,                0.93066,                0.56324,                 1.0029,                0.91318,                0.61849,                0.74404,                0.55111,                0.93511,                 0.6123,                 1.0701,               0.001608,               0.001608,               0.001608
                    102,                0.92759,                0.56445,                 1.0042,                0.88075,                0.63537,                0.75157,                0.54952,                0.95137,                0.60455,                 1.0711,               0.001604,               0.001604,               0.001604
                    103,                 0.9315,                0.56021,                 1.0039,                0.90765,                0.62731,                 0.7563,                0.55538,                0.94285,                0.59534,                 1.0688,                 0.0016,                 0.0016,                 0.0016
                    104,                 0.9171,                0.55754,                 0.9991,                0.86029,                0.63165,                0.73948,                0.53938,                0.96581,                0.61719,                 1.0985,              0.0015961,              0.0015961,              0.0015961
